"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"Canton Local SD, Stark","49833.0","36.0","52.03","1873.13","1960.46","0.004","0.0","0.0805","0.0","0.0124","0.8307","0.0724","0.8272","0.0012","0.1422","62736.02","0.1857","0.1714","0.6429","17.4","93530.83","107.58","186813.33","0.4826","0.1757","0.3418","0.5174","186.81","6483.33","450.18","141633.95","337.0","30319.0","44542.0","48.2","25.71","33.17","5.2","0.0","0.7537","1613.65","1951.41","7246.87","544.01","652.21","12008.17","6445.71","0.4298","5691.91","0.3795","1760.44","0.1174","1098.91","0.0733","14996.97","4806.55","1.7262","0.5725","0.2111","0.1617","0.0352","0.0196"
"Cardinal Local SD, Geauga","47175.0","79.0","13.45","1062.21","1011.63","0.0064","0.001","0.0049","0.0","0.0069","0.9552","0.0255","0.4226","0.0314","0.1435","54056.69","0.1395","0.407","0.4535","12.4","73845.4","84.4","291311.05","0.7399","0.2085","0.0516","0.2601","291.31","7604.49","773.46","259244.08","579.0","22586.0","47209.0","52.6","22.91","30.89","3.5","0.0","1.2822","1747.26","3057.27","6812.44","607.14","169.85","12393.96","5311.94","0.3282","6709.69","0.4146","2257.71","0.1395","1905.51","0.1177","16184.85","2127.45","0.5422","0.4677","0.2322","0.2594","0.0183","0.0225"
"Cardington-Lincoln Local SD, Morrow","48793.0","71.0","15.57","1105.82","1060.03","0.0038","0.0","0.0052","0.0028","0.0123","0.9521","0.0239","0.4108","0.0","0.177","62841.69","0.15","0.15","0.7","5.3","83212.69","203.7","129801.08","0.8725","0.0806","0.0469","0.1275","129.8","2936.48","351.0","113886.21","181.0","33256.0","46067.0","30.5","22.0","24.78","4.3","836.24","1.3352","1551.34","2510.97","6267.75","511.1","202.64","11043.76","7233.84","0.5436","3203.08","0.2407","1629.47","0.1224","1241.53","0.0933","13307.92","5933.2","2.5587","0.485","0.21","0.264","0.019","0.022"
"Carey Ex Vill SD, Wyandot","45260.0","50.0","16.3","815.09","788.46","0.014","0.0","0.0027","0.0025","0.0292","0.9377","0.0139","0.3477","0.0","0.1444","55583.8","0.1148","0.1639","0.7213","10.1","68936.39","80.66","124674.02","0.8596","0.1062","0.0342","0.1404","124.67","2749.1","423.74","112151.01","175.0","34424.0","50048.0","49.9","20.0","29.68","5.0","1422.99","1.0414","1562.82","1741.45","6943.62","293.09","550.66","11091.66","7594.24","0.5497","4033.75","0.292","1559.76","0.1129","628.5","0.0455","13816.25","5754.84","1.9916","0.5273","0.2125","0.202","0.0428","0.0153"
"Carlisle Local SD, Warren","50419.0","11.0","138.85","1527.32","1527.28","0.0059","0.0","0.008","0.0","0.0229","0.943","0.0202","0.3434","0.0007","0.122","55885.17","0.188","0.188","0.6239","10.4","78251.72","142.74","107317.39","0.8014","0.0876","0.111","0.1986","107.32","3822.45","465.47","108746.95","157.0","34677.0","48134.0","51.14","31.88","50.18","5.81","1391.79","1.3181","1227.63","1921.06","6598.53","668.5","204.1","10619.86","6496.28","0.5217","4519.42","0.3629","842.96","0.0677","594.65","0.0478","12453.32","5509.19","1.9292","0.5228","0.252","0.1732","0.0378","0.0142"
"Carrollton Ex Vill SD, Carroll","45278.0","289.0","7.56","2183.8","2009.8","0.001","0.0005","0.0047","0.0017","0.0174","0.9633","0.0114","0.4645","0.0035","0.178","50864.39","0.3333","0.1773","0.4894","23.8","51849.83","87.53","298454.05","0.4615","0.3666","0.1719","0.5385","298.45","7256.3","380.41","182771.77","481.0","31695.0","52981.0","32.2","22.26","23.2","4.0","0.0","0.8133","1358.93","2120.19","6195.57","888.42","179.86","10742.96","6106.39","0.4112","6916.32","0.4657","755.48","0.0509","1072.79","0.0722","14850.98","4517.95","1.439","0.4775","0.264","0.2015","0.0377","0.0193"
"Cedar Cliff Local SD, Greene","47258.0","49.0","10.62","520.57","572.2","0.0172","0.0","0.0135","0.0","0.0338","0.8767","0.0589","0.2234","0.0","0.0995","51008.57","0.1373","0.2745","0.5882","8.9","68124.16","55.88","207509.0","0.8929","0.0539","0.0532","0.1071","207.51","5239.93","737.65","167012.96","439.0","33041.0","54944.0","34.43","24.73","24.81","4.4","1795.58","1.5974","1580.23","2012.04","5695.15","442.86","498.05","10228.35","5139.96","0.3816","5572.45","0.4137","2277.7","0.1691","479.13","0.0356","13469.23","5978.25","1.5048","0.5567","0.1853","0.1911","0.0548","0.0122"
"Celina City SD, Mercer","43729.0","146.0","18.94","2765.24","2654.13","0.0167","0.0239","0.0091","0.0026","0.0409","0.8715","0.0353","0.4307","0.0263","0.1699","56017.14","0.2167","0.1478","0.6355","31.0","66589.9","89.14","158091.02","0.8711","0.113","0.0159","0.1289","158.09","4971.83","679.45","141884.29","338.0","32113.0","51123.0","35.0","31.26","32.4","4.7","960.5","1.5294","1640.89","2098.19","7530.94","727.91","304.05","12301.97","5628.33","0.4175","5681.46","0.4214","981.21","0.0728","1189.76","0.0883","13480.76","3666.46","1.1528","0.527","0.2319","0.1928","0.0303","0.018"
"Centerburg Local SD, Knox","47829.0","64.0","17.49","1119.46","1070.71","0.0091","0.0","0.0037","0.0","0.008","0.9204","0.0588","0.2289","0.0","0.0955","50494.04","0.1806","0.3194","0.5","6.0","83796.67","179.69","136782.62","0.9195","0.0525","0.028","0.0805","136.78","3122.38","406.87","133712.2","295.0","39612.0","58034.0","39.0","22.18","25.5","4.4","1104.9","1.0571","1400.8","1885.76","5345.33","498.96","337.46","9468.31","5927.97","0.5246","3894.39","0.3447","896.39","0.0793","580.76","0.0514","11299.5","4948.21","1.4977","0.5165","0.248","0.1447","0.0336","0.0571"
"Centerville City SD, Montgomery","43737.0","31.0","250.21","7756.64","7852.64","0.0919","0.0002","0.0701","0.0014","0.0256","0.7677","0.043","0.1542","0.0231","0.1378","65852.83","0.253","0.1334","0.6135","40.0","102196.65","193.8","222129.7","0.8022","0.1784","0.0194","0.1978","222.13","10044.49","1199.37","231514.71","559.0","47972.0","99965.0","73.76","44.4","45.8","5.25","0.0","0.6509","1540.57","2019.58","7303.02","1278.69","197.12","12338.97","2844.77","0.2174","8832.42","0.6749","978.02","0.0747","431.91","0.033","13087.12","1493.94","0.1541","0.6088","0.2979","0.0593","0.0238","0.0101"
"Central Local SD, Defiance","46714.0","161.0","6.83","1100.14","994.32","0.002","0.0","0.0035","0.0","0.0588","0.9127","0.0229","0.386","0.0086","0.1314","57077.1","0.1","0.2125","0.6875","10.1","73548.4","104.32","159859.3","0.9259","0.0176","0.0565","0.0741","159.86","4254.48","499.12","132148.18","285.0","32489.0","46817.0","27.55","26.55","27.01","4.8","825.74","1.8739","1661.96","2043.42","6459.75","261.27","174.38","10600.76","7388.99","0.5287","4610.49","0.3299","1207.56","0.0864","767.76","0.0549","13974.8","5530.82","2.4889","0.5431","0.2281","0.19","0.0244","0.0143"
"Chagrin Falls Ex Vill SD, Cuyahoga","45286.0","12.0","161.47","1937.68","1962.24","0.0134","0.0","0.0109","0.0002","0.027","0.9289","0.0195","0.0435","0.0107","0.1017","69118.12","0.0884","0.1973","0.7143","12.0","102238.0","161.47","268798.05","0.9128","0.071","0.0162","0.0872","268.8","13484.5","1724.82","290798.81","592.0","65911.0","199904.0","110.45","48.5","57.92","4.5","0.0","0.5302","2017.42","2312.07","7790.4","808.57","737.63","13666.07","2611.95","0.1693","11541.1","0.7481","1021.55","0.0662","252.94","0.0164","15427.55","878.94","0.0513","0.5893","0.2284","0.1373","0.0268","0.0182"
"Champion Local SD, Trumbull","50138.0","26.0","55.68","1447.65","1345.41","0.0052","0.0","0.0036","0.0007","0.0133","0.9527","0.0244","0.287","0.003","0.1179","56098.94","0.2685","0.1759","0.5556","10.8","68425.83","127.95","115171.96","0.8689","0.1063","0.0247","0.1311","115.17","4825.86","746.05","120577.68","214.0","34557.0","49558.0","49.55","41.04","47.15","5.7","0.0","1.1017","1496.8","1893.46","5922.22","745.97","189.77","10248.25","6199.27","0.5322","4136.41","0.3551","696.34","0.0598","617.06","0.053","11649.08","4375.74","1.3771","0.5396","0.2153","0.1841","0.0397","0.0213"
"Chardon Local SD, Geauga","47183.0","75.0","38.98","2923.84","2762.58","0.0069","0.0","0.0062","0.0027","0.0291","0.9349","0.0203","0.1712","0.0118","0.1031","61208.79","0.1925","0.1818","0.6257","19.5","87748.28","148.63","222545.18","0.8333","0.1288","0.0379","0.1667","222.55","8929.72","880.5","228769.92","553.0","42230.0","78084.0","76.28","37.67","45.38","4.5","0.0","0.9436","1493.18","2201.81","6904.36","758.21","338.18","11695.76","3474.42","0.2582","8243.17","0.6126","948.28","0.0705","790.48","0.0587","13456.35","1587.59","0.2363","0.567","0.2222","0.1564","0.0371","0.0173"
"Chesapeake Union Ex Vill SD, Lawrence","45294.0","31.0","42.12","1305.7","1341.49","0.0028","0.0007","0.0093","0.0007","0.009","0.948","0.0293","0.581","0.0","0.1488","53047.48","0.1149","0.1609","0.7241","11.1","69737.44","110.32","101006.43","0.8554","0.0541","0.0905","0.1446","101.01","2124.79","295.82","91261.46","95.0","32535.0","52671.0","21.4","21.0","21.0","4.5","0.0","0.616","1482.64","1819.13","5054.22","532.8","533.74","9422.56","7108.1","0.638","1596.89","0.1433","1215.39","0.1091","1220.32","0.1095","11140.7","7400.37","2.7788","0.5479","0.2246","0.1822","0.0348","0.0105"
"Chillicothe City SD, Ross","43745.0","25.0","129.39","3234.68","2710.35","0.0064","0.0006","0.0616","0.0006","0.0314","0.7709","0.1286","0.999","0.0","0.1239","57384.98","0.4335","0.1676","0.3988","44.2","41951.05","69.61","122932.05","0.652","0.2861","0.0619","0.348","122.93","4174.9","537.76","115807.15","191.0","27770.0","44514.0","51.8","31.14","36.53","3.5","0.0","0.9286","1388.85","2023.5","6483.67","707.77","251.86","10855.66","6888.27","0.4901","4207.56","0.2993","1227.41","0.0873","1732.52","0.1233","14055.76","3956.7","1.4707","0.5041","0.1889","0.2701","0.0254","0.0114"
"Chippewa Local SD, Wayne","50534.0","30.0","43.55","1306.44","1288.85","0.0039","0.0008","0.007","0.0031","0.0155","0.9576","0.0121","0.328","0.0","0.1001","55463.01","0.2299","0.2529","0.5172","11.0","64306.64","114.17","157850.42","0.8198","0.0591","0.121","0.1802","157.85","3912.59","416.61","150541.09","384.0","35527.0","56451.0","41.6","22.24","25.62","4.2","1514.26","1.0786","1534.66","1619.05","5924.15","214.3","392.73","9684.92","4578.04","0.4192","4803.3","0.4398","1028.79","0.0942","511.99","0.0469","10922.12","4033.23","1.0192","0.5335","0.2194","0.1912","0.0367","0.0193"
"Cincinnati City SD, Hamilton","43752.0","91.0","486.13","44237.68","34421.38","0.0147","0.0008","0.6287","0.0011","0.0534","0.2412","0.0601","0.799","0.0599","0.1841","63609.28","0.274","0.1536","0.5724","193.7","96768.4","228.23","138259.43","0.5967","0.3258","0.0775","0.4033","138.26","7617.07","567.64","132592.64","288.0","30813.0","63426.0","72.81","50.24","59.76","4.19","0.0","0.8571","2110.98","3019.06","7337.3","809.05","885.28","14161.67","6661.92","0.3693","8270.66","0.4585","1101.85","0.0611","2004.92","0.1111","18039.35","2727.46","0.5789","0.3158","0.0998","0.5396","0.0302","0.0146"
"Circleville City SD, Pickaway","43760.0","41.0","54.32","2227.16","2092.26","0.0092","0.0019","0.0175","0.0033","0.0244","0.9008","0.043","0.7806","0.0","0.1499","63387.3","0.229","0.2366","0.5344","19.7","75186.85","108.94","119824.4","0.7225","0.2004","0.0771","0.2775","119.82","4401.56","607.0","115567.55","190.0","28763.0","47153.0","53.59","33.21","42.94","3.0","796.02","1.4802","1427.67","1959.2","6732.85","549.08","627.85","11296.66","6223.35","0.4581","4641.38","0.3416","958.22","0.0705","1762.79","0.1298","13585.74","4811.61","1.9025","0.5638","0.2255","0.1538","0.0256","0.0312"
"Clark-Shawnee Local SD, Clark","46284.0","38.0","53.04","2015.7","1942.04","0.0067","0.0021","0.031","0.0015","0.02","0.8741","0.0646","0.4167","0.0051","0.1276","59675.28","0.4429","0.1","0.4571","12.2","89436.05","158.28","170568.56","0.5739","0.3571","0.069","0.4261","170.57","6550.03","470.79","170054.22","445.0","35898.0","60217.0","48.66","36.77","39.04","6.6","0.0","0.9503","1229.86","1982.24","6189.59","479.84","232.74","10114.26","4241.73","0.341","5904.95","0.4747","1598.62","0.1285","693.94","0.0558","12439.22","3400.93","0.9442","0.5263","0.2187","0.2132","0.0255","0.0163"
"Clay Local SD, Scioto","49601.0","22.0","22.72","499.85","682.73","0.0092","0.0","0.0114","0.0015","0.0047","0.9704","0.0029","0.5383","0.0","0.1533","47225.81","0.4118","0.1765","0.4118","6.0","78977.35","80.24","119067.16","0.7378","0.1701","0.0921","0.2622","119.07","2757.79","427.71","86191.8","82.0","33220.0","50496.0","29.59","22.0","24.72","5.42","0.0","0.5368","1309.47","1704.44","4898.01","445.64","289.97","8647.55","5967.69","0.5195","1589.16","0.1383","3229.69","0.2812","700.62","0.061","11487.17","9192.25","2.9709","0.4813","0.215","0.2627","0.0302","0.0107"
"Claymont City SD, Tuscarawas","43778.0","72.0","28.45","2048.19","2009.17","0.002","0.0","0.0132","0.0022","0.0156","0.9367","0.0303","0.5806","0.0","0.1807","51575.72","0.2303","0.2434","0.5263","13.0","78707.15","152.31","85949.04","0.7343","0.1447","0.121","0.2657","85.95","2193.7","255.04","71837.12","45.0","28525.0","41534.0","30.1","24.86","25.08","4.2","0.0","0.794","1025.34","2450.65","6567.95","477.93","405.38","10927.26","8223.76","0.6848","1775.84","0.1479","942.85","0.0785","1066.53","0.0888","12008.99","7755.01","4.2355","0.5341","0.2501","0.1636","0.0459","0.0063"
"Clear Fork Valley Local SD, Richland","49411.0","110.0","14.55","1600.85","1651.61","0.0018","0.0018","0.003","0.0018","0.0211","0.9504","0.0201","0.3609","0.0006","0.1453","48436.68","0.2752","0.1678","0.557","14.0","67522.43","109.97","132946.11","0.8611","0.0573","0.0815","0.1389","132.95","3310.61","428.65","125271.72","237.0","33355.0","51061.0","49.9","22.21","29.75","4.2","1297.39","1.1909","1130.27","2150.34","5947.98","347.33","318.42","9894.32","5507.53","0.489","3840.37","0.341","1276.95","0.1134","638.13","0.0567","11262.97","5660.46","1.8203","0.5383","0.243","0.1631","0.0429","0.0127"
"Clearview Local SD, Lorain","48132.0","4.0","272.79","1091.16","1582.56","0.0013","0.0","0.1232","0.0019","0.3576","0.4368","0.0793","1.0","0.0125","0.0941","58379.31","0.3878","0.3061","0.3061","17.3","68521.2","60.93","71774.13","0.6646","0.2793","0.0561","0.3354","71.77","3008.32","425.82","38227.35","1.0","23984.0","35536.0","55.43","41.57","40.0","6.77","0.0","1.3962","1376.96","1798.91","5692.32","403.83","72.08","9344.1","7211.92","0.5526","1749.64","0.1341","2724.32","0.2088","1364.44","0.1046","13050.33","12720.09","8.7517","0.5639","0.2079","0.1976","0.0188","0.0119"
"Clermont-Northeastern Local, Clermont","46326.0","78.0","21.27","1658.79","1406.86","0.0013","0.0","0.0063","0.0007","0.0111","0.9466","0.034","0.4271","0.0","0.1597","55339.01","0.3214","0.1339","0.5446","11.5","82518.26","139.6","180269.5","0.8352","0.1335","0.0313","0.1648","180.27","4228.83","508.63","174458.3","458.0","36742.0","61002.0","33.21","22.53","26.96","4.4","2016.93","1.1592","1377.3","3538.93","6021.1","547.31","254.12","11738.76","4878.76","0.361","6435.83","0.4762","1244.64","0.0921","955.75","0.0707","13514.97","2735.97","0.6134","0.4491","0.1476","0.3577","0.035","0.0106"
"Cleveland Hts-Univ Hts City, Cuyahoga","43794.0","10.0","619.75","6197.45","5183.86","0.0193","0.0008","0.7218","0.0013","0.026","0.1761","0.0548","0.9995","0.0206","0.1831","78059.69","0.2776","0.2941","0.4282","36.0","107827.92","172.15","170496.88","0.83","0.152","0.018","0.17","170.5","13750.2","1614.6","181788.04","477.0","38226.0","74452.0","144.7","76.93","93.37","4.45","0.0","1.3805","2888.01","3406.65","11266.23","1434.25","895.88","19891.01","6094.19","0.2699","13821.14","0.6121","1301.78","0.0577","1363.61","0.0604","22580.72","2065.28","0.2892","0.5173","0.246","0.1915","0.0247","0.0204"
"Cleveland Municipal SD, Cuyahoga","43786.0","79.0","693.89","54817.53","38948.99","0.0114","0.0013","0.645","0.002","0.1577","0.1569","0.0258","1.0","0.0916","0.2177","65771.66","0.3431","0.0776","0.5793","694.0","76733.07","78.99","85516.56","0.446","0.4708","0.0832","0.554","85.52","4526.17","347.92","81469.44","72.0","24500.0","39892.0","73.2","46.43","55.5","4.0","0.0","1.0416","2764.68","3271.13","8985.78","941.81","783.17","16746.58","12553.21","0.5728","5926.75","0.2704","839.73","0.0383","2597.39","0.1185","21917.08","5411.51","2.8953","0.4546","0.1777","0.3377","0.0203","0.0097"
"Clinton-Massie Local SD, Clinton","46391.0","127.0","13.51","1716.02","1738.81","0.0049","0.0","0.0014","0.0","0.0119","0.9618","0.0199","0.2248","0.0","0.1084","52401.5","0.3077","0.1346","0.5577","13.6","74759.65","123.56","161227.44","0.8936","0.0292","0.0772","0.1064","161.23","3676.26","438.06","147751.98","364.0","39632.0","62824.0","30.2","22.15","23.22","4.2","0.0","0.7345","996.09","1959.82","5268.38","566.57","256.37","9047.25","5525.06","0.5419","2976.46","0.2919","1221.58","0.1198","472.25","0.0463","10195.36","5144.2","1.3706","0.5601","0.2268","0.1667","0.0336","0.0128"
"Cloverleaf Local SD, Medina","48488.0","117.0","21.64","2531.53","2301.22","0.0066","0.0004","0.0065","0.0","0.0205","0.9431","0.0228","0.2969","0.0","0.119","59358.34","0.3125","0.0875","0.6","16.0","75430.75","151.35","203916.2","0.8414","0.1341","0.0245","0.1586","203.92","6701.46","747.14","200853.8","520.0","35943.0","57414.0","60.05","31.97","33.5","4.5","2215.75","1.5826","1173.2","2635.78","6527.91","785.86","287.8","11410.56","4904.09","0.3251","8520.59","0.5649","893.07","0.0592","765.1","0.0507","15082.84","3363.92","0.708","0.5397","0.2266","0.1723","0.044","0.0173"
"Clyde-Green Springs Ex Vill, Sandusky","45302.0","67.0","32.09","2149.83","2147.03","0.0018","0.0005","0.0098","0.0005","0.0982","0.8563","0.0329","0.4215","0.0","0.1605","56873.81","0.4","0.08","0.52","17.0","74778.0","122.74","107912.25","0.7778","0.1889","0.0333","0.2222","107.91","3422.69","390.67","101105.5","130.0","32624.0","46206.0","48.85","28.6","41.52","3.7","1068.41","1.3503","1133.26","1896.26","5950.23","711.89","309.83","10001.45","6479.69","0.5111","3967.54","0.313","1314.66","0.1037","915.68","0.0722","12677.57","5714.66","2.354","0.546","0.2132","0.1979","0.0313","0.0117"
"Coldwater Ex Vill SD, Mercer","45310.0","44.0","27.69","1218.45","1296.68","0.0031","0.0107","0.004","0.0","0.0134","0.9631","0.0056","0.1789","0.0108","0.1203","61448.64","0.0971","0.1748","0.7282","8.9","87389.1","136.9","134391.55","0.8841","0.0924","0.0235","0.1159","134.39","3472.44","452.85","118846.23","206.0","38003.0","61967.0","48.38","24.21","35.72","5.0","698.33","0.8802","1201.38","1480.39","7419.15","296.62","260.14","10657.67","5964.02","0.5116","3604.83","0.3092","1682.22","0.1443","405.95","0.0348","11657.02","5765.46","1.7802","0.6068","0.2206","0.0748","0.0313","0.0667"
"Colonel Crawford Local SD, Crawford","46516.0","109.0","7.26","791.23","906.97","0.0082","0.0","0.0055","0.0","0.0093","0.967","0.01","0.3351","0.0","0.1408","51198.37","0.2273","0.1061","0.6667","5.7","77765.96","128.87","177637.73","0.8734","0.0677","0.0588","0.1266","177.64","4505.18","634.4","130263.04","271.0","33424.0","50074.0","49.2","22.71","38.92","5.0","1870.52","1.5238","1328.89","1968.76","5556.65","784.69","357.68","9996.7","5307.95","0.3992","4756.76","0.3577","2591.87","0.1949","641.39","0.0482","13297.97","6021.85","1.8919","0.4954","0.2604","0.1812","0.0402","0.0228"
"Columbia Local SD, Lorain","48140.0","25.0","32.61","815.2","828.24","0.0012","0.0","0.0012","0.0","0.0356","0.9384","0.0237","0.282","0.0","0.0942","56856.98","0.1642","0.209","0.6269","8.2","72760.7","94.88","260161.87","0.8817","0.0762","0.0421","0.1183","260.16","10482.78","1205.46","236800.24","568.0","38302.0","68526.0","58.09","39.49","39.7","5.1","0.0","1.2152","2000.7","2112.91","6679.45","840.95","190.61","11824.66","3843.58","0.271","8536.24","0.6019","1282.17","0.0904","520.4","0.0367","14182.38","3180.16","0.4532","0.6166","0.2186","0.1242","0.0405","0.0"
"Columbiana Ex Vill SD, Columbiana","45328.0","16.0","64.06","1024.97","1035.21","0.0068","0.001","0.0041","0.0","0.0224","0.9344","0.0314","0.3081","0.001","0.1606","49968.74","0.5349","0.1628","0.3023","9.3","74717.45","108.44","185209.11","0.7195","0.2409","0.0396","0.2805","185.21","4196.0","545.21","172716.65","452.0","31662.0","53851.0","31.7","22.38","22.0","0.0","1819.62","1.2013","1381.35","1476.9","5580.87","527.86","347.89","9314.9","3682.88","0.3158","5136.54","0.4404","2093.38","0.1795","749.43","0.0643","11662.23","2910.49","0.7135","0.5048","0.2019","0.252","0.0254","0.016"
"Columbus City SD, Franklin","43802.0","137.0","525.64","72012.79","50062.9","0.039","0.0003","0.5471","0.0018","0.1147","0.2313","0.0657","0.9938","0.144","0.1637","67308.45","0.2759","0.1827","0.5414","315.0","97877.85","228.59","126178.68","0.5486","0.4134","0.0381","0.4514","126.18","6508.03","508.93","121654.98","219.0","29637.0","47337.0","76.68","45.43","57.42","4.51","0.0","0.8657","2072.14","2996.5","7615.93","1368.36","763.15","14816.07","7566.2","0.3954","9116.47","0.4764","572.8","0.0299","1880.82","0.0983","19136.29","2062.05","0.635","0.4743","0.1996","0.2915","0.0229","0.0116"
"Columbus Grove Local SD, Putnam","49312.0","73.0","12.86","938.72","865.1","0.0069","0.0","0.0114","0.0012","0.0542","0.9054","0.0209","0.2719","0.0","0.1424","57055.26","0.5181","0.0843","0.3976","5.2","75986.22","175.76","143548.0","0.9354","0.0234","0.0412","0.0646","143.55","3165.85","419.46","125357.75","238.0","35097.0","50076.0","29.7","21.7","22.63","4.35","1260.05","1.4464","1298.69","1945.57","5995.27","348.44","196.69","9784.71","7026.27","0.5494","4266.44","0.3336","850.84","0.0665","644.85","0.0504","12788.4","5431.97","2.0985","0.5503","0.2291","0.1816","0.0277","0.0113"
"Conneaut Area City SD, Ashtabula","43810.0","59.0","29.46","1738.0","1609.73","0.0054","0.0","0.0106","0.002","0.0314","0.9115","0.039","0.605","0.002","0.1665","52186.84","0.3694","0.1532","0.4775","9.0","71214.78","182.71","124723.17","0.7025","0.254","0.0434","0.2975","124.72","3009.62","385.23","117645.57","201.0","27457.0","40101.0","36.4","22.82","25.65","3.7","0.0","0.8469","1417.69","2099.74","6524.81","656.41","409.2","11107.86","7561.35","0.6356","2620.07","0.2202","680.46","0.0572","1035.16","0.087","11897.04","6355.33","2.8468","0.5459","0.2363","0.1884","0.0199","0.0095"
"Conotton Valley Union Local, Harrison","47548.0","70.0","6.18","432.35","402.61","0.0","0.0","0.0","0.0","0.0099","0.9873","0.0028","0.4828","0.005","0.2188","41887.32","0.2813","0.0938","0.625","7.5","60124.11","53.13","214171.18","0.7052","0.1168","0.178","0.2948","214.17","7074.59","618.59","184123.18","484.0","33750.0","51818.0","47.17","29.48","32.97","4.0","0.0","1.1937","2313.72","2706.85","6440.76","527.56","774.6","12763.36","6951.38","0.4195","6238.39","0.3765","2311.63","0.1395","1067.46","0.0644","16568.85","5290.61","1.5793","0.4745","0.1944","0.2639","0.0443","0.0229"
"Continental Local SD, Putnam","49320.0","80.0","6.88","550.68","436.56","0.0","0.0","0.0053","0.0","0.0367","0.9531","0.0049","0.3578","0.0023","0.2095","46821.15","0.4068","0.1695","0.4237","4.1","77780.33","128.84","162834.8","0.8453","0.0394","0.1154","0.1547","162.83","3830.21","386.56","127948.84","256.0","33211.0","48224.0","34.35","22.0","24.44","4.45","1194.15","1.5367","1810.59","2904.37","7270.21","618.52","373.2","12976.97","9319.4","0.5368","5553.13","0.3198","1348.73","0.0777","1141.14","0.0657","17362.4","5293.79","2.0136","0.4579","0.2129","0.2765","0.0333","0.0193"
"Copley-Fairlawn City SD, Summit","49981.0","23.0","130.49","3001.25","2820.84","0.0441","0.0099","0.1262","0.0014","0.0204","0.755","0.043","0.1727","0.0292","0.0962","68068.71","0.1762","0.2642","0.5596","18.0","93910.06","166.74","283864.03","0.5502","0.3375","0.1123","0.4498","283.86","11413.08","872.45","270522.04","584.0","46140.0","85498.0","61.67","36.4","39.27","5.1","0.0","0.5889","1408.3","1830.25","7452.76","645.26","177.51","11514.07","2271.2","0.1591","10955.73","0.7675","574.62","0.0403","472.44","0.0331","14273.98","413.27","0.0503","0.571","0.188","0.1917","0.0293","0.0199"
"Cory-Rawson Local SD, Hancock","47431.0","101.0","6.62","668.47","530.42","0.0056","0.0","0.018","0.0","0.0224","0.9332","0.0207","0.3736","0.0","0.1606","53817.54","0.3103","0.1552","0.5345","5.1","68390.14","130.52","208946.58","0.8772","0.0843","0.0385","0.1228","208.95","4434.01","532.23","176094.98","462.0","37205.0","55904.0","32.8","20.0","28.64","5.4","2486.31","1.6769","2533.33","2734.8","7202.17","722.16","232.43","13424.77","7241.03","0.4044","8125.85","0.4538","1569.02","0.0876","968.41","0.0541","17904.31","3277.03","1.1619","0.4958","0.1714","0.2342","0.0342","0.0644"
