IRN,Local Education Agency Name,Operating Expenditures,CRI%,NCR%,Instruction,Pupil Support,Instr Staff Sup ,CRI - Classroom Instr,Gen Admin,School Admin,Oper & Maint,Pupil Transp,Other Support,NCR -Nonclassroom,Other Elem-Sec,Other Non Elem-Sec,Non-Operating,Operating EPEP,County Name,County Mortality Rate
049171,Aurora City,30236573.799991757,0.7148675016216659,0.28513249837833415,5884.337913121424,584.0514109644815,400.2131043829571,6868.602428468864,333.6393860027588,457.6667554294104,872.3078581342136,500.7072860492225,356.4268166062886,2739.615056432248,279.8145922147409,80.303735978159,1094.8114295014695,9608.217484901112,Portage,13.67
048298,Austintown Local,43633865.1499949,0.6907940675524712,0.30920593244752886,4482.238217854761,471.69811463192434,117.23179266946671,5071.168125156152,241.63841648852448,473.62818759474305,729.2399617385953,291.8978548387243,163.51712603139606,2269.902627121201,96.61998620617605,15.832299369775606,2528.2420984832515,7341.070752277353,Mahoning,19.91
048124,Avon Lake City,37899262.680001356,0.694017219862189,0.305982780137811,5650.664404157262,701.6435669661608,267.51650457898046,6619.824475702403,174.08692827693824,573.2296216074004,1117.1866110147641,424.0003702718937,350.2126028772812,2918.5908348239,278.57446867047366,78.98348859483413,1017.5816740345339,9538.415310526303,Lorain,17.43
048116,Avon Local,32786576.04999681,0.7352079422150718,0.26479205778492826,4686.671073519211,278.5378567724434,228.42106568060052,5193.6299959722555,149.08291168200824,417.375250834227,552.760949894047,382.43519738116686,235.35456178287384,1870.534708675281,185.3907961758594,83.26392571689004,2376.8484303683144,7064.1647046475355,Lorain,17.43
046706,Ayersville Local,8185505.34,0.7049164737335569,0.2950835262664431,6204.645708879825,391.03596456997377,580.3619156712133,7176.043589121012,373.7390568899396,453.4514647896493,940.8900996849429,331.4950865729364,464.06005226401237,3003.9477382392847,412.3186306913315,0.0,602.3278489829204,10179.991327360298,Defiance,11.07
043539,Barberton City,37310104.9699809,0.699929510275976,0.30007048972402406,5073.302813968749,482.42773380337576,285.4862603671789,5841.216808139304,206.9982097671088,458.3535230737241,803.0749990820352,253.32864655996477,338.4741777211602,2504.2190141568076,198.82311675495055,43.44804633993365,1165.425687824091,8345.435822296113,Summit,20.39
045203,Barnesville Exempted Village,11721170.790000025,0.6890215520867136,0.3109784479132864,5189.343059575532,599.9950987697445,339.65240962134055,6128.990567966617,218.11734379083964,357.84170439681526,988.8490364520636,407.1392562067908,520.9542417610801,2766.218223986064,143.7387346556321,0.5879661756599355,358.40238049080256,8895.208791952682,Belmont,12.96
046300,Batavia Local,17213117.82999926,0.6527291337318414,0.34727086626815856,4332.325979214269,178.54518710581254,27.0951218043442,4537.966288124425,208.9975870519006,507.5659291752491,514.6266277115764,592.5971037874579,280.69508954033336,2414.3299303384433,118.18518129724693,0.0,718.8347362461093,6952.29621846287,Clermont,23.37
045765,Bath Local,15562388.3,0.6583609605731274,0.34163903942687257,4976.83239046658,489.8526920158494,188.4611673487298,5655.146249831159,218.83936371684717,505.49218808570055,984.8350809419022,427.4295944532297,330.9801883145133,2934.5888476268465,307.8920013511792,0.0,6526.24867953871,8589.735097458006,Allen,11.16
043547,Bay Village City,29416567.179989412,0.6920747552028584,0.3079252447971416,5886.338474961075,975.7984719034797,305.6375246184309,7167.774471482986,184.48951884945953,798.331166526014,1071.4867795044117,341.28108585326686,520.2876390963905,3189.162286572861,216.91220738483264,198.8373352376323,2905.6586680715895,10356.936758055848,Cuyahoga,18.81
