"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"Lakewood Local SD, Licking","47993.0","85.0","25.07","2130.88","1999.53","0.0046","0.006","0.003","0.0138","0.9495","0.0231","0.5047","0.0","0.1606","47558.91","0.1611","0.1833","0.6556","15.9","28.82","47854.1","71.99","185783.1","0.7147","0.2424","0.0429","0.2853","185.78","7023.38","717.35","181634.39","495.0","32662.0","51561.0","55.33","36.62","38.2","4.6","0.0","1.4149","1469.91","2377.11","5625.01","726.58","139.4","10338.0","4119.15","0.36","6018.6","0.526","594.22","0.0519","709.64","0.062","11441.6","1461.52","0.3264","0.5788","0.2043","0.1463","0.0298","0.0408"
"Lakota Local SD, Butler","46110.0","63.0","274.16","17272.34","16181.0","0.0585","0.1026","0.0016","0.0484","0.7451","0.0438","0.1904","0.048","0.1011","64141.8","0.0669","0.2032","0.7299","20.63","57.0","85625.49","293.49","145796.65","0.7641","0.2067","0.0292","0.2359","145.8","5446.81","631.03","178281.76","486.0","52467.0","81332.0","62.57","35.42","40.95","6.49","0.0","0.5077","1080.34","1880.02","5364.29","657.95","112.4","9095.0","3336.18","0.3403","4733.05","0.4828","1280.45","0.1306","452.71","0.0462","9802.4","2212.39","0.3147","0.5838","0.1905","0.1861","0.0257","0.0138"
"Lakota Local SD, Sandusky","49569.0","127.0","8.54","1084.03","976.8","0.003","0.002","0.0001","0.0391","0.9371","0.0187","0.3187","0.0","0.1437","42022.33","0.3051","0.1525","0.5424","15.31","6.6","60659.24","156.79","135353.93","0.8668","0.0884","0.0448","0.1332","135.35","3076.95","457.57","125841.64","309.0","31206.0","42569.0","38.0","21.6","26.1","4.6","1816.72","1.6392","1541.24","2465.55","5483.72","753.18","251.25","10495.0","5760.3","0.4697","4853.83","0.3958","990.81","0.0808","659.71","0.0538","12264.65","4197.9","1.3175","0.4656","0.2248","0.2099","0.0499","0.0498"
"Lancaster City SD, Fairfield","44206.0","57.0","113.87","6490.53","5899.6","0.0048","0.0169","0.0015","0.0111","0.9432","0.0226","0.5472","0.0015","0.1459","55703.31","0.4506","0.1063","0.443","21.78","26.0","89181.96","249.62","140955.94","0.6758","0.271","0.0532","0.3242","140.96","3493.43","376.77","139007.32","381.0","28369.0","43320.0","64.6","21.78","24.46","4.0","1585.79","1.4571","1226.02","1525.21","5527.76","570.19","422.82","9272.0","4172.32","0.3775","5308.66","0.4803","581.54","0.0526","991.33","0.0897","11053.86","2478.22","0.7648","0.5529","0.1995","0.1812","0.0504","0.016"
"Lebanon City SD, Warren","44214.0","79.0","74.83","5911.69","5446.75","0.0092","0.0173","0.0014","0.0496","0.8853","0.0372","0.2446","0.0185","0.1136","54373.27","0.2715","0.2053","0.5232","22.23","32.2","71239.34","178.65","130997.5","0.8123","0.1333","0.0544","0.1877","131.0","4632.38","594.27","148437.33","415.0","38284.0","61043.0","58.95","34.25","32.52","4.61","0.0","0.8302","854.84","1751.88","4181.37","630.98","243.91","7663.0","3666.04","0.4191","4173.7","0.4771","535.68","0.0612","372.61","0.0426","8748.03","2566.22","0.5254","0.566","0.23","0.1588","0.0353","0.01"
"Ledgemont Local SD, Geauga","47209.0","50.0","12.3","615.13","524.47","0.0037","0.0112","0.0","0.0035","0.9715","0.01","0.3459","0.0","0.1314","44574.15","0.2889","0.2889","0.4222","17.08","3.89","54515.42","153.72","166146.39","0.9077","0.0631","0.0292","0.0923","166.15","3894.05","435.94","169355.62","467.0","37592.0","51449.0","55.01","22.24","26.08","4.5","1644.43","1.2308","1895.31","2130.83","5652.88","453.79","51.24","10184.0","4656.61","0.3335","5608.23","0.4016","3131.35","0.2242","568.27","0.0407","13964.46","2506.95","0.5655","0.4033","0.2163","0.3249","0.0295","0.026"
"Leetonia Ex Vill SD, Columbiana","45443.0","22.0","37.31","820.88","768.6","0.0013","0.0062","0.0","0.0142","0.9614","0.0169","0.5371","0.0","0.2163","45525.76","0.2821","0.141","0.5769","14.24","7.5","41752.45","107.13","87043.72","0.8268","0.0834","0.0898","0.1732","87.04","2348.98","412.45","84466.95","87.0","28822.0","42550.0","27.7","26.92","26.91","0.0","0.0","0.8011","1078.31","1640.23","5213.09","859.86","66.46","8858.0","6487.59","0.5851","1990.1","0.1795","1716.51","0.1548","894.52","0.0807","11088.72","5139.17","1.8771","0.4511","0.1782","0.3311","0.0243","0.0154"
"Leipsic Local SD, Putnam","49353.0","58.0","10.62","616.1","622.57","0.0112","0.0016","0.0","0.3759","0.4977","0.1136","0.5531","0.0706","0.1862","49677.36","0.1389","0.1806","0.6806","15.5","4.11","75427.06","149.9","125137.19","0.768","0.1646","0.0674","0.232","125.14","3105.86","377.38","103989.78","183.0","30425.0","40526.0","32.7","24.0","25.4","4.55","470.76","1.156","1236.05","1912.17","5880.3","126.62","293.82","9449.0","6206.38","0.5233","3261.91","0.275","1334.86","0.1125","1057.77","0.0892","11860.92","5099.04","1.9337","0.5534","0.2174","0.1762","0.0356","0.0174"
"Lexington Local SD, Richland","49437.0","53.0","50.69","2686.81","2441.79","0.0166","0.0126","0.0011","0.0203","0.9052","0.0443","0.2726","0.0066","0.143","49670.53","0.1188","0.15","0.7313","17.95","15.05","74082.45","173.3","125993.83","0.8497","0.1264","0.0239","0.1503","125.99","5004.4","672.08","137735.35","373.0","35062.0","56841.0","48.5","39.37","40.39","3.8","0.0","0.9745","897.51","1690.58","5154.43","506.15","289.33","8538.0","4299.55","0.4394","4546.91","0.4647","500.31","0.0511","437.78","0.0447","9784.55","2740.15","0.5358","0.5811","0.2306","0.1426","0.0325","0.0133"
"Liberty Benton Local SD, Hancock","47449.0","49.0","24.24","1187.55","1296.51","0.0108","0.009","0.0","0.0445","0.915","0.0207","0.2241","0.0054","0.1211","51938.77","0.1146","0.2083","0.6771","16.56","11.0","69225.09","107.96","134016.66","0.7801","0.1704","0.0495","0.2199","134.02","3926.42","467.9","129047.15","324.0","38817.0","74252.0","39.36","28.58","29.69","5.3","1455.27","0.8747","1383.88","1673.8","5127.21","347.6","330.53","8863.0","4374.74","0.3972","4640.66","0.4213","1554.82","0.1412","443.96","0.0403","11014.18","4367.88","0.6943","0.564","0.1931","0.1814","0.0407","0.0209"
"Liberty Center Local SD, Henry","47589.0","74.0","14.45","1069.55","1106.93","0.0061","0.0039","0.0009","0.0348","0.9498","0.0044","0.3727","0.0018","0.1752","56699.54","0.1505","0.1398","0.7097","17.01","11.37","61172.05","90.71","110581.46","0.8816","0.0628","0.0556","0.1184","110.58","2663.84","341.56","111303.3","229.0","35878.0","49513.0","43.35","22.06","35.5","2.15","2001.11","1.4828","1251.98","1768.89","6373.92","647.91","383.31","10426.0","5055.93","0.4425","4027.85","0.3525","1634.83","0.1431","706.98","0.0619","11425.6","4010.86","1.3023","0.4831","0.1717","0.2917","0.0365","0.0171"
"Liberty Local SD, Trumbull","50195.0","19.0","79.39","1508.38","1285.11","0.0093","0.3092","0.0008","0.0381","0.5887","0.0539","0.6257","0.0039","0.1398","49760.12","0.34","0.16","0.5","18.14","6.21","63864.02","238.13","147537.32","0.7053","0.2685","0.0262","0.2947","147.54","6029.02","839.9","148610.92","417.0","29876.0","55825.0","49.25","41.12","39.37","5.7","0.0","0.9156","1431.81","2127.2","5881.28","506.87","153.88","10101.0","4273.51","0.345","5951.81","0.4805","1100.14","0.0888","1060.4","0.0856","12385.85","1891.21","0.2991","0.4847","0.2045","0.1987","0.0182","0.0939"
"Liberty Union-Thurston Local, Fairfield","46888.0","52.0","27.17","1413.0","1412.03","0.0078","0.0013","0.0007","0.0118","0.9642","0.0142","0.3385","0.0021","0.1458","48077.45","0.3763","0.2043","0.4194","19.56","12.99","72920.26","107.31","115201.17","0.8853","0.0759","0.0388","0.1147","115.2","2626.15","412.71","121086.87","292.0","36713.0","50665.0","39.7","22.06","22.75","4.8","1944.44","1.4074","1217.27","2024.27","4535.46","500.81","209.2","8487.0","4239.11","0.4245","4237.55","0.4243","872.52","0.0874","637.29","0.0638","9986.47","3768.64","1.1764","0.5759","0.1935","0.1681","0.0459","0.0166"
"Licking Heights Local SD, Licking","48009.0","36.0","107.03","3852.91","3615.46","0.009","0.273","0.0003","0.0323","0.6205","0.0648","0.3825","0.0786","0.1176","46234.67","0.3318","0.3134","0.3548","18.7","28.2","63847.65","135.66","128327.41","0.7899","0.1916","0.0185","0.2101","128.33","4657.8","620.43","151994.02","431.0","43609.0","54765.0","44.35","36.27","35.62","4.8","0.0","0.7622","886.01","1888.56","4517.15","502.18","389.12","8183.0","3253.38","0.337","4135.36","0.4284","1694.05","0.1755","570.32","0.0591","9653.12","1478.14","0.3547","0.545","0.2284","0.1777","0.035","0.014"
"Licking Valley Local SD, Licking","48017.0","108.0","17.99","1942.73","2065.0","0.001","0.0072","0.0029","0.0027","0.9716","0.0147","0.407","0.0","0.0925","52833.53","0.1429","0.2269","0.6303","17.27","16.34","77113.35","116.58","109324.85","0.8392","0.0936","0.0672","0.1608","109.32","2513.83","358.36","104423.88","189.0","31809.0","45066.0","31.9","22.1","24.63","4.6","854.55","1.1933","1507.96","2068.1","5024.61","200.87","184.47","8986.0","4594.13","0.5023","2883.66","0.3153","1093.61","0.1196","575.4","0.0629","9146.8","4819.42","1.7278","0.6008","0.1988","0.1297","0.051","0.0198"
"Lima City SD, Allen","44222.0","9.0","573.0","5157.03","3809.18","0.004","0.4048","0.0018","0.0387","0.4046","0.1461","0.8054","0.0045","0.2115","46652.0","0.1767","0.1833","0.64","16.68","24.1","75793.44","213.98","56599.71","0.6244","0.3119","0.0638","0.3756","56.6","1923.87","265.32","54194.71","12.0","20514.0","30718.0","41.47","33.74","32.96","3.7","0.0","0.9566","1296.28","2113.87","6079.65","807.89","859.29","11157.0","9366.42","0.6536","2129.42","0.1486","607.25","0.0424","2226.79","0.1554","14329.88","4743.24","3.5276","0.514","0.1731","0.2807","0.0232","0.009"
"Lincolnview Local SD, Van Wert","50369.0","145.0","5.53","801.48","921.62","0.0022","0.0011","0.0","0.0173","0.9619","0.0176","0.44","0.0","0.1703","50202.05","0.1493","0.1493","0.7015","16.93","7.2","62571.49","106.94","139447.11","0.9281","0.0409","0.0309","0.0719","139.45","3532.53","593.75","98979.81","157.0","34518.0","50919.0","45.7","24.23","35.03","5.3","0.0","0.9464","1209.08","1502.95","5271.54","189.2","257.23","8430.0","4759.97","0.4621","2466.46","0.2394","2558.81","0.2484","516.48","0.0501","10301.72","5607.47","1.5258","0.5301","0.1934","0.1591","0.0535","0.0638"
"Lisbon Ex Vill SD, Columbiana","45450.0","25.0","33.92","848.04","927.77","0.0","0.0055","0.0","0.0038","0.9799","0.0108","0.5544","0.0","0.1605","51667.89","0.2326","0.186","0.5814","17.51","10.3","55863.58","80.18","99326.69","0.7208","0.1922","0.087","0.2792","99.33","2284.9","360.17","81652.78","75.0","28290.0","48314.0","28.9","22.4","22.59","0.0","0.0","0.5225","1310.43","2022.58","5702.31","658.07","275.59","9969.0","5747.92","0.5663","1699.24","0.1674","1679.15","0.1654","1023.23","0.1008","10149.55","6552.98","1.5913","0.5688","0.1828","0.2013","0.0352","0.0119"
"Little Miami Local SD, Warren","50443.0","100.0","42.33","4233.24","3726.52","0.0119","0.0131","0.0017","0.0272","0.9209","0.0251","0.2173","0.0094","0.1161","52682.27","0.2156","0.2844","0.5","20.37","15.0","73858.33","272.95","175763.08","0.9385","0.0332","0.0282","0.0615","175.76","7116.53","1123.22","206022.81","528.0","49843.0","72325.0","52.25","40.11","41.3","1.6","0.0","0.772","1046.08","2195.45","5023.26","275.59","141.64","8682.0","3579.05","0.3158","6802.97","0.6002","567.46","0.0501","384.82","0.034","11334.3","1670.98","0.224","0.542","0.2123","0.1928","0.0384","0.0145"
"Lockland City SD, Hamilton","44230.0","2.0","317.64","635.27","607.68","0.0042","0.4363","0.0","0.0336","0.4763","0.0496","0.7931","0.0888","0.1413","46605.04","0.25","0.2895","0.4605","15.95","8.21","52447.5","75.83","104539.52","0.4383","0.4658","0.0959","0.5617","104.54","4517.88","290.57","118214.41","277.0","21888.0","34248.0","49.79","38.6","46.21","4.19","0.0","1.0645","2512.27","2266.44","5940.73","611.06","500.46","11831.0","5564.52","0.4514","4100.9","0.3327","960.71","0.0779","1700.15","0.1379","12326.28","2896.11","1.2151","0.4621","0.1703","0.3347","0.016","0.0168"
"Logan Elm Local SD, Pickaway","49080.0","198.0","10.55","2089.09","1940.06","0.002","0.0076","0.0","0.0052","0.9788","0.0064","0.4023","0.0005","0.1744","51535.34","0.1471","0.2206","0.6324","17.51","14.0","77950.86","139.56","144651.78","0.8509","0.0913","0.0578","0.1491","144.65","3919.01","423.53","146998.42","410.0","34768.0","48784.0","43.05","25.5","31.84","3.4","1049.54","1.3588","1010.49","2279.89","5550.22","548.75","212.65","9602.0","4496.2","0.4266","4549.77","0.4316","753.32","0.0715","741.36","0.0703","10540.65","3077.79","0.853","0.5335","0.2409","0.1359","0.0392","0.0504"
"Logan-Hocking Local SD, Hocking","44248.0","317.0","12.66","4013.28","3996.75","0.0028","0.0058","0.0009","0.0068","0.9667","0.0171","0.6018","0.0","0.1828","53700.91","0.1133","0.2109","0.6758","19.17","22.0","88691.77","178.53","120848.58","0.8107","0.0971","0.0921","0.1893","120.85","2769.03","397.99","117933.07","275.0","28156.0","40885.0","31.53","22.03","22.11","2.4","0.0","1.027","1059.42","2044.58","5380.02","702.44","408.54","9595.0","5605.6","0.5685","2325.59","0.2359","615.05","0.0624","1313.31","0.1332","9859.56","5113.25","2.1273","0.5826","0.265","0.1142","0.0284","0.0098"
"London City SD, Madison","44255.0","57.0","39.52","2252.37","1927.48","0.0119","0.0407","0.0005","0.0203","0.8767","0.0498","0.4634","0.014","0.1475","51014.68","0.5586","0.1517","0.2897","18.49","17.0","70812.82","129.77","135059.16","0.772","0.1962","0.0319","0.228","135.06","3121.14","463.51","136029.41","364.0","31445.0","53474.0","38.9","21.62","26.41","4.2","1381.73","1.0962","1412.02","1608.9","4998.02","493.33","294.72","8807.0","4338.43","0.3917","4645.64","0.4195","1045.45","0.0944","1045.49","0.0944","11075.0","2422.74","0.5067","0.5495","0.1909","0.2143","0.0252","0.0201"
"Lorain City SD, Lorain","44263.0","16.0","602.75","9644.05","6744.65","0.0036","0.2731","0.002","0.3537","0.2671","0.1005","0.8504","0.0534","0.1986","63806.82","0.1002","0.0957","0.8041","25.34","48.5","85703.2","198.78","57986.0","0.7682","0.2088","0.023","0.2318","57.99","2259.17","312.43","61789.31","23.0","22565.0","32971.0","61.26","35.25","50.15","3.44","0.0","1.0097","1585.81","2080.73","6827.29","696.64","798.53","11989.0","10298.45","0.5868","2598.49","0.1481","2084.99","0.1188","2567.18","0.1463","17549.1","4531.18","3.0235","0.4678","0.1607","0.3469","0.0151","0.0095"
"Lordstown Local SD, Trumbull","50203.0","23.0","21.12","485.8","511.3","0.0004","0.0178","0.0","0.0059","0.9502","0.0257","0.3091","0.0","0.1403","51439.0","0.3488","0.093","0.5581","15.35","4.8","65784.88","98.04","203315.97","0.5579","0.3313","0.1108","0.4421","203.32","7927.3","589.03","219225.86","552.0","33631.0","51356.0","45.3","34.19","44.97","6.9","0.0","0.9372","2134.51","3145.06","6672.96","244.16","23.26","12220.0","4531.94","0.3405","5895.3","0.4429","2244.43","0.1686","638.64","0.048","13310.3","279.96","0.058","0.5165","0.2023","0.1834","0.0297","0.068"
"Loudonville-Perrysville Ex V, Ashland","45468.0","118.0","10.3","1215.13","1173.9","0.0009","0.0009","0.0","0.0149","0.9731","0.0102","0.4539","0.0034","0.1759","52781.75","0.1789","0.1789","0.6421","16.68","6.6","81837.33","179.43","135927.29","0.7266","0.1469","0.1264","0.2734","135.93","4652.22","484.28","137493.0","372.0","27559.0","38338.0","42.82","32.83","33.76","4.0","1281.54","2.1135","1327.46","1741.89","6007.47","438.49","554.74","10070.0","4328.85","0.3766","5375.41","0.4676","759.47","0.0661","1031.84","0.0898","11495.58","3301.83","1.3065","0.5348","0.2133","0.1876","0.0459","0.0185"
"Louisville City SD, Stark","49874.0","37.0","83.39","3085.25","3111.7","0.0034","0.0019","0.0","0.0069","0.9705","0.0173","0.3537","0.0032","0.1232","56957.26","0.1141","0.1793","0.7065","19.14","14.0","85413.07","212.15","101697.7","0.8594","0.1126","0.028","0.1406","101.7","2533.26","439.06","113385.52","245.0","32140.0","48185.0","49.1","24.11","24.99","5.0","0.0","0.6451","950.19","1659.72","4827.36","484.89","217.83","8140.0","4887.7","0.5851","2073.16","0.2482","827.71","0.0991","565.15","0.0677","8353.73","4654.84","1.2387","0.6213","0.2379","0.0999","0.0265","0.0143"
"Loveland City SD, Hamilton","44271.0","16.0","294.7","4715.12","4504.83","0.0181","0.0153","0.0004","0.0205","0.9237","0.022","0.1522","0.0084","0.1131","68787.06","0.1103","0.1825","0.7072","23.48","16.45","93449.92","284.01","158188.85","0.9185","0.0658","0.0156","0.0815","158.19","6402.85","891.92","185271.16","502.0","50879.0","94703.0","72.25","39.9","40.98","4.96","0.0","0.6336","1127.11","1731.46","5883.19","571.04","272.2","9585.0","3197.03","0.3328","5527.07","0.5754","546.95","0.0569","334.31","0.0348","9605.36","2153.01","0.2343","0.6396","0.2272","0.0769","0.0347","0.0215"
"Lowellville Local SD, Mahoning","48330.0","6.0","54.36","326.16","607.26","0.0016","0.0181","0.0","0.0615","0.9122","0.0066","0.4261","0.0","0.1295","40428.31","0.375","0.2679","0.3571","21.42","4.25","69609.24","75.14","106847.62","0.7598","0.0777","0.1625","0.2402","106.85","3223.76","397.54","55336.97","16.0","30414.0","44167.0","58.0","23.88","33.52","4.4","0.0","0.6048","1622.01","1415.54","4064.43","157.27","387.75","7647.0","3786.91","0.4301","1440.94","0.1637","3054.46","0.3469","522.01","0.0593","8804.32","10739.78","3.0953","0.6519","0.1746","0.0908","0.0303","0.0524"
"Lucas Local SD, Richland","49445.0","39.0","14.88","580.25","583.6","0.0","0.0034","0.0007","0.0124","0.975","0.0085","0.3116","0.0","0.105","47961.2","0.2","0.1556","0.6444","14.73","5.5","51280.0","98.76","128985.02","0.7512","0.0205","0.2283","0.2488","128.99","5503.56","574.92","134562.77","351.0","34180.0","48982.0","52.9","39.63","40.14","5.0","0.0","1.0842","1397.18","1916.63","5051.92","229.63","409.63","9005.0","4056.41","0.392","4558.0","0.4405","1069.19","0.1033","664.69","0.0642","10348.29","3477.35","0.9132","0.5822","0.182","0.1545","0.049","0.0322"
"Lynchburg-Clay Local SD, Highland","47639.0","114.0","11.31","1289.6","1212.08","0.0012","0.0022","0.0","0.0074","0.9761","0.013","0.4257","0.0","0.1551","44828.4","0.2308","0.2418","0.5275","18.09","11.0","44623.91","113.78","80875.79","0.9248","0.0341","0.0411","0.0752","80.88","1815.9","243.89","77434.7","62.0","31600.0","41508.0","25.5","22.21","25.23","4.4","0.0","0.8381","1217.14","2126.74","5329.14","442.47","193.53","9309.0","6796.2","0.672","1541.62","0.1524","946.02","0.0935","829.74","0.082","10113.58","5687.26","2.6756","0.5355","0.2136","0.1818","0.0427","0.0263"
"Mad River Local SD, Montgomery","48702.0","11.0","322.27","3544.98","3686.69","0.0215","0.0834","0.0022","0.0534","0.776","0.0636","0.5966","0.0155","0.1246","54876.47","0.1341","0.3487","0.5172","17.92","16.0","89706.69","221.56","70228.82","0.7151","0.2448","0.0401","0.2849","70.23","3096.0","420.57","66444.32","32.0","25256.0","38537.0","65.3","40.95","49.78","6.8","0.0","0.8814","1160.22","2081.66","5859.71","636.41","196.99","9935.0","6290.26","0.5763","2387.64","0.2187","983.96","0.0901","1253.83","0.1149","10915.68","6024.67","3.1266","0.5779","0.2365","0.1469","0.0289","0.0098"
"Madeira City SD, Hamilton","44289.0","3.0","472.51","1417.54","1371.64","0.0367","0.0114","0.0058","0.0343","0.8914","0.0204","0.0779","0.0131","0.1104","68546.47","0.1942","0.2621","0.5437","16.72","7.2","101517.22","194.09","208423.76","0.8896","0.0927","0.0177","0.1104","208.42","10553.85","1407.54","242827.26","581.0","54259.0","91342.0","96.87","48.89","58.55","4.26","0.0","0.8621","1551.77","1687.85","7260.16","715.99","533.23","11749.0","3310.56","0.2507","9073.51","0.6872","574.19","0.0435","245.78","0.0186","13204.05","1737.34","0.1829","0.5858","0.1816","0.1895","0.0239","0.0191"
"Madison Local SD, Butler","46128.0","31.0","48.41","1500.65","1496.32","0.0044","0.0028","0.0007","0.0077","0.9648","0.0197","0.3606","0.0","0.114","50603.68","0.2421","0.1684","0.5895","17.99","11.38","69916.61","126.28","103790.5","0.9129","0.063","0.0241","0.0871","103.79","3162.1","584.25","117003.82","269.0","35453.0","49330.0","31.87","30.35","31.67","3.12","543.56","1.0983","1132.66","2152.05","4922.32","460.45","264.5","8932.0","4361.84","0.4646","3221.99","0.3432","1008.33","0.1074","796.06","0.0848","9388.22","4101.08","1.3075","0.5168","0.1933","0.2426","0.0263","0.0211"
"Madison Local SD, Lake","47886.0","45.0","67.79","3050.36","3044.17","0.0046","0.0068","0.0001","0.0431","0.9123","0.0331","0.3975","0.0112","0.0925","60423.04","0.3503","0.1695","0.4802","19.17","15.25","67672.69","197.85","117166.3","0.8361","0.1379","0.026","0.1639","117.17","3187.27","443.85","128552.27","320.0","32032.0","46723.0","52.61","26.3","27.87","4.85","0.0","0.861","1217.39","1838.53","5023.58","579.0","58.49","8717.0","4806.52","0.5147","3218.85","0.3447","689.26","0.0738","623.12","0.0667","9337.76","4474.2","1.3408","0.602","0.2265","0.1346","0.0279","0.0091"
"Madison Local SD, Richland","49452.0","49.0","67.2","3292.83","3008.53","0.0036","0.0385","0.001","0.0207","0.8904","0.0459","0.6187","0.0007","0.1439","45461.57","0.2363","0.1941","0.5696","16.17","16.25","68303.63","202.64","97176.78","0.7429","0.2147","0.0424","0.2571","97.18","3427.06","441.55","102894.47","180.0","26404.0","37389.0","60.4","29.97","48.61","4.4","0.0","0.9392","1193.79","1853.99","6322.31","373.3","328.59","10072.0","5747.52","0.5291","3356.2","0.309","730.41","0.0672","1028.1","0.0946","10862.24","3331.99","1.3224","0.5003","0.2965","0.1537","0.0271","0.0224"
"Madison-Plains Local SD, Madison","48272.0","248.0","5.32","1319.55","1275.9","0.0047","0.0034","0.0008","0.0104","0.9524","0.0283","0.4538","0.0","0.127","49898.01","0.2593","0.1852","0.5556","15.84","13.0","68898.69","99.46","187262.5","0.8927","0.0525","0.0548","0.1073","187.26","5561.84","620.42","164689.05","462.0","35344.0","51292.0","47.55","27.79","43.56","5.1","0.0","1.2166","1802.18","1931.43","5679.44","447.25","472.73","10333.0","4618.25","0.384","5481.77","0.4558","1251.76","0.1041","676.01","0.0562","12027.8","3244.52","0.7366","0.5724","0.2155","0.151","0.0367","0.0245"
"Manchester Local SD, Adams","442.0","115.0","7.42","853.24","805.41","0.0","0.0026","0.0","0.0115","0.9676","0.0183","0.935","0.0","0.1802","52226.79","0.1864","0.322","0.4915","16.9","6.0","83232.17","142.21","348515.0","0.1559","0.1934","0.6508","0.8441","348.52","8633.97","154.59","304704.81","597.0","24923.0","36560.0","26.5","20.0","22.81","3.8","0.0","0.8437","1835.25","2455.63","6661.28","327.52","459.32","11739.0","5379.7","0.3031","8824.4","0.4972","962.83","0.0542","2581.3","0.1454","17748.24","1235.48","0.8267","0.4698","0.2078","0.239","0.0429","0.0404"
"Manchester Local SD, Summit","50005.0","14.0","98.91","1384.68","1392.68","0.0033","0.0079","0.0029","0.0036","0.9666","0.0158","0.2607","0.0","0.1314","52639.3","0.2791","0.186","0.5349","22.91","10.0","69265.0","132.76","133197.23","0.8976","0.0394","0.063","0.1024","133.2","5718.69","784.93","139083.94","382.0","35326.0","49676.0","67.28","41.05","46.93","5.9","0.0","1.2443","1091.01","1746.7","5170.13","780.08","246.08","9034.0","4728.61","0.4581","4549.62","0.4408","525.92","0.051","517.11","0.0501","10321.24","3562.44","0.8701","0.5765","0.2197","0.1402","0.0383","0.0252"
"Mansfield City SD, Richland","44297.0","19.0","268.52","5101.92","3502.79","0.0064","0.2926","0.0006","0.0257","0.5486","0.1261","0.8259","0.0049","0.2407","53826.42","0.1101","0.1429","0.747","17.58","23.2","72250.58","219.91","78323.07","0.6904","0.2614","0.0481","0.3096","78.32","2883.43","443.38","79834.33","70.0","21833.0","34526.0","55.95","32.85","43.77","4.4","0.0","1.5239","1882.28","3419.58","8302.28","878.02","395.82","14878.0","9728.27","0.5622","3826.79","0.2212","1703.14","0.0984","2045.45","0.1182","17303.65","3748.09","1.7731","0.4702","0.2204","0.2761","0.0165","0.0168"
"Maple Heights City SD, Cuyahoga","44305.0","5.0","833.79","4168.93","3614.64","0.0052","0.9259","0.0","0.0144","0.0273","0.0272","0.7751","0.0022","0.1428","60865.69","0.2818","0.2455","0.4727","17.57","33.75","56794.58","123.52","75893.52","0.6117","0.3603","0.028","0.3883","75.89","3790.0","576.86","96821.67","145.0","27367.0","34489.0","66.4","50.73","47.32","5.3","0.0","1.5115","1562.24","1977.67","6181.27","472.37","275.45","10469.0","5827.71","0.4759","3548.99","0.2898","1468.89","0.1199","1401.0","0.1144","12246.59","3770.72","2.065","0.5694","0.2141","0.1818","0.0192","0.0155"
