"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"Boardman Local SD, Mahoning","48306.0","25.0","188.9","4722.42","4530.79","0.0318","0.0854","0.0011","0.0518","0.7767","0.0531","0.42","0.0201","0.1411","53188.83","0.1828","0.2151","0.6022","17.76","20.34","70441.35","228.72","173854.31","0.6068","0.363","0.0301","0.3932","173.85","7030.56","703.32","190443.62","511.0","30620.0","49488.0","58.65","39.92","39.8","5.25","0.0","0.8632","923.27","1798.84","5160.32","376.75","180.83","8440.0","2791.51","0.2846","5881.52","0.5995","537.39","0.0548","599.79","0.0611","9810.2","735.51","0.138","0.5811","0.2411","0.1289","0.0327","0.0162"
"Botkins Local SD, Shelby","49767.0","32.0","12.94","414.15","583.68","0.0009","0.0013","0.0034","0.008","0.9672","0.0192","0.2108","0.0","0.1062","49846.87","0.0909","0.25","0.6591","18.68","5.65","62815.04","72.31","122830.81","0.8151","0.1294","0.0555","0.1849","122.83","2834.9","443.38","85461.72","90.0","35530.0","49047.0","29.51","22.41","24.53","5.3","1485.99","1.1046","1210.12","1422.41","4955.56","289.87","500.01","8378.0","4048.8","0.4065","2743.32","0.2755","2636.23","0.2647","530.88","0.0533","9959.23","7816.62","2.046","0.6174","0.2197","0.1107","0.0357","0.0165"
"Bowling Green City SD, Wood","43638.0","118.0","26.7","3150.31","2903.08","0.0155","0.0316","0.0011","0.091","0.7912","0.0697","0.3004","0.011","0.1288","64452.45","0.1196","0.1576","0.7228","16.67","16.4","88293.59","186.27","185404.26","0.6643","0.3248","0.0109","0.3357","185.4","5844.98","550.04","202531.2","525.0","27981.0","45643.0","56.05","29.63","34.59","4.0","915.42","1.2274","1320.79","1852.5","6179.94","739.45","321.33","10414.0","3427.9","0.3171","6296.67","0.5825","503.43","0.0466","581.65","0.0538","10809.65","1698.33","0.3333","0.5769","0.2283","0.1157","0.045","0.0342"
"Bradford Ex Vill SD, Miami","45229.0","25.0","23.78","594.39","572.19","0.0045","0.0035","0.0","0.0188","0.968","0.0052","0.4875","0.0052","0.1733","44937.44","0.3659","0.122","0.5122","15.8","5.0","71655.0","107.75","80767.63","0.9216","0.0519","0.0265","0.0784","80.77","1828.53","278.59","80502.69","71.0","28795.0","38587.0","30.51","22.38","23.29","5.5","1539.8","1.7509","1755.28","1825.99","4581.98","479.48","368.24","9011.0","5756.19","0.5127","3081.1","0.2744","1434.79","0.1278","954.83","0.085","11226.91","5328.0","2.2332","0.5422","0.1854","0.2238","0.0353","0.0132"
"Brecksville-Broadview Height, Cuyahoga","43646.0","29.0","143.82","4170.88","4085.7","0.061","0.0209","0.0005","0.0216","0.8699","0.0263","0.0912","0.0188","0.0959","78303.9","0.1905","0.2987","0.5108","21.6","19.93","107201.47","206.35","241251.9","0.7777","0.1973","0.025","0.2223","241.25","9443.13","1081.16","255581.49","585.0","47108.0","88773.0","74.44","37.52","41.05","4.69","0.0","0.703","1182.54","2065.43","7386.47","635.92","393.63","11664.0","2696.18","0.2261","7826.26","0.6563","1041.32","0.0873","361.33","0.0303","11925.1","1092.46","0.0989","0.6564","0.2066","0.096","0.025","0.016"
"Bridgeport Ex Vill SD, Belmont","45237.0","16.0","48.78","780.5","779.41","0.0013","0.0548","0.0","0.0117","0.8882","0.0441","0.6044","0.0","0.1889","41007.9","0.2414","0.2931","0.4655","13.52","11.25","45041.31","66.43","95125.1","0.7032","0.2344","0.0624","0.2968","95.13","2498.11","406.98","85969.91","92.0","24202.0","37951.0","40.85","24.24","28.43","4.35","0.0","0.5885","1386.93","1810.47","5314.55","365.2","230.89","9108.0","6041.69","0.5799","2127.39","0.2042","1202.57","0.1154","1046.03","0.1004","10417.68","5403.0","1.6288","0.512","0.2062","0.2347","0.035","0.0121"
"Bright Local SD, Highland","47613.0","120.0","6.31","757.68","717.46","0.0018","0.007","0.0014","0.0073","0.9694","0.0132","0.5498","0.0","0.1571","46973.87","0.2308","0.2308","0.5385","17.51","7.23","55931.81","102.72","108811.89","0.9081","0.0142","0.0776","0.0919","108.81","2486.26","296.5","95968.83","141.0","27595.0","37362.0","31.1","22.12","24.38","4.4","0.0","1.1668","929.86","2333.35","5798.53","617.11","373.17","10052.0","6903.75","0.5988","2088.35","0.1811","1322.26","0.1147","1214.41","0.1053","11528.77","5640.57","2.7571","0.4907","0.2085","0.2535","0.0345","0.0129"
"Bristol Local SD, Trumbull","50112.0","54.0","14.94","806.89","718.1","0.0","0.0032","0.0","0.0","0.9892","0.0075","0.4824","0.0404","0.1577","47564.28","0.3529","0.1176","0.5294","18.45","4.12","70057.33","187.21","111689.39","0.9467","0.0263","0.0271","0.0533","111.69","3534.88","520.84","110831.42","226.0","31535.0","41258.0","48.9","31.1","33.64","5.2","0.0","1.1433","1358.75","1912.65","5259.6","130.16","61.78","8723.0","5300.61","0.4999","3180.31","0.3","1062.25","0.1002","1059.41","0.0999","10602.58","3013.45","1.0422","0.4851","0.2164","0.2475","0.0351","0.016"
"Brookfield Local SD, Trumbull","50120.0","25.0","47.87","1196.74","1129.72","0.0026","0.026","0.0","0.0129","0.9116","0.0469","0.5427","0.0","0.1406","48744.93","0.2326","0.0698","0.6977","18.83","9.17","58155.69","127.44","104514.76","0.769","0.1534","0.0776","0.231","104.51","2753.8","445.94","105751.15","194.0","27495.0","41692.0","46.5","24.01","27.87","6.0","0.0","0.6136","1172.82","1889.7","4945.94","313.07","100.46","8422.0","5223.44","0.4818","2382.91","0.2198","2188.19","0.2018","1047.18","0.0966","10841.73","3760.42","1.0769","0.5305","0.1954","0.2221","0.0415","0.0106"
"Brooklyn City SD, Cuyahoga","43653.0","4.0","376.5","1505.99","1389.89","0.0394","0.0697","0.0021","0.173","0.6495","0.0664","0.5593","0.054","0.1747","60609.69","0.5368","0.2737","0.1895","18.7","9.23","79972.46","158.36","193842.73","0.4224","0.5158","0.0619","0.5776","193.84","7967.96","632.53","234764.71","570.0","28487.0","37917.0","50.1","42.21","39.12","4.6","0.0","1.193","1968.07","1283.75","6342.26","584.7","279.21","10458.0","2533.94","0.2373","6780.52","0.6351","641.38","0.0601","720.76","0.0675","10676.61","59.76","0.0182","0.5984","0.1915","0.169","0.0137","0.0274"
